heartbeat,temperature,spo2,heat_illness_risk
64,36.5,96.1,0
63,36.4,98.3,0
63,36.4,99,0
57,36.8,98.1,0
62,36.4,98.8,0
64,36.3,96.1,0
61,36.2,96,0
63,36.5,99.5,0
69,36.5,99.5,0
65,36.4,96.1,0
64,36.6,98.2,0
62,35,96.6,0
61,36.2,96.4,0
65,36.8,99.4,0
67,36.8,99.6,0
64,35.9,96.6,0
65,34.5,99.4,0
64,36.5,97.9,0
63,36.5,95.9,0
62,36.8,99.1,0
63,36.7,95.8,3.3
62,36.7,95.8,3
63,36.6,96.9,0
60,36.2,97.4,0
61,36.4,99.8,0
57,37.3,95.8,13.5
57,36.3,99.9,0
58,36.5,95.3,0
59,37,98.6,2.5
57,36.8,97.4,0.3
62,36.7,95.3,4
63,37.1,99.6,3.7
62,36.6,99.4,0
63,36.4,96.2,0
64,36.3,99.2,0
62,36.4,95.5,0
65,36.5,98.1,0
65,36.8,97.4,2.7
66,36.8,98.1,1.6
63,36.4,98.8,0
64,36.9,94.5,10.2
64,36.2,98.5,0
64,36.4,92.5,4.2
62,36.7,97.2,0.2
63,36.3,99.7,0
68,36.6,96.4,1.6
69,36.6,99.7,0
66,36.8,95.5,6.8
70,36.8,96,7
66,36.3,95.5,0
65,36.2,99.3,0
58,36.2,95.5,0
62,36.7,97.6,0
58,36.4,98,0
60,36.9,93.2,11.6
62,36.8,98.4,0
61,37,98.2,3.9
68,36.6,95.5,3.4
64,36.6,96.3,0.6
64,36.6,95.4,2.4
71,36.5,96.3,0.7
73,36.8,98.5,2.9
72,36.6,97.7,0.2
72,36.5,99.7,0
65,36.3,97.1,0
58,36.3,98.2,0
63,36.5,93.1,4.7
64,36.8,96.5,4.2
60,36.3,95.5,0
64,36.3,96.9,0
62,36.8,95.5,5.6
52,36.8,98.8,0
61,36.7,95.6,3.1
73,36.7,91.3,15.3
65,37.1,96.5,10.5
64,36.4,98.6,0
60,37,95.3,9.4
62,36.6,95.3,2
64,36.4,98.3,0
61,36.5,99.8,0
61,36.6,99.9,0
62,36.6,95.3,2
61,36.8,97.3,1.7
63,36.8,97.5,1.9
60,36.4,97.7,0
64,36.2,99,0
62,36.4,96.5,0
62,36.4,99.8,0
61,36.1,95.6,0
60,36.2,99.5,0
62,36.4,97.1,0
63,36.3,96.1,0
63,36.2,99,0
64,36.3,97.8,0
64,36.5,96,0
64,36.7,98.3,0
63,36.7,95.1,4.7
64,36.5,97.2,0
65,36,97.2,0
58,36.3,98.6,0
59,36.7,95.5,2.7
63,37,95.6,9.7
67,36.4,95.6,0
68,36.2,97.4,0
63,36.8,98.9,0
76,36.4,86.6,19.6
61,36.3,99.3,0
62,37,92.6,15.4
64,36.7,98.2,0
63,36.1,99.7,0
68,36.4,96.7,0
66,36.5,96.9,0
62,36.3,99.2,0
66,36.6,98.7,0
62,38.9,99.8,39
69,36.5,98.4,0
67,36.3,99.1,0
68,36.6,97.5,0
65,36.3,96.3,0
64,36.8,97.3,2.6
64,36.2,98.7,0
57,36.1,99.4,0
55,37,98.3,1.9
62,35.9,96.2,0
85,36.7,97.7,6.1
83,36.4,96.9,1.1
90,36.5,95.3,8.4
83,36,98.3,0
73,36.7,98.8,0.3
66,36.2,99.8,0
68,36.4,97,0
64,36.2,96.1,0
74,36.5,98.1,0
67,36.8,99.1,0
75,36.4,96.1,0.3
69,36.6,91.7,11.3
68,36.4,95.3,0
69,36.1,96.1,0
67,36.6,97.6,0
64,37,96.4,8.4
72,36.8,99.1,1.4
70,36,98.5,0
81,36,90.1,6.1
82,36.5,90.7,15.2
92,38,97.6,34.4
94,36.1,98.2,0
95,36.2,97.2,0.1
95,36,96.9,0
85,35.7,95.4,0
82,36.1,90.2,8.2
74,36.4,98.6,0
70,36.4,94.9,1.2
71,36.9,99.8,1.7
82,36.4,96.7,1.2
83,36.9,97.8,9.3
80,36.7,99,2
99,36.8,98.8,10.1
62,36.4,99,0
76,36.2,96.2,0
89,36.6,95.7,9.3
83,36.5,96.9,3.1
82,36.6,97.6,3.4
69,36.7,96.1,4.5
90,36.4,96.2,4.6
94,37.3,90.2,35.8
82,36.5,96.1,4.4
81,36.3,97.3,0
84,36.2,90.8,9.6
91,36.5,99.8,0
87,36.4,96,4.1
86,36.1,99.8,0
82,36.7,95.5,9.6
77,36.1,99.6,0
75,36.6,98.3,0
88,36.7,98.4,5.6
83,37.1,93.2,22.5
82,36.3,98.9,0
69,36,95.3,0
74,36.1,95.7,0
76,36.1,98.9,0
80,36.1,87.9,12.2
79,36.7,99.6,0.5
77,36.6,96,5.1
73,36.8,99.8,0.3
79,36.2,95,0
79,36.7,99.5,0.7
78,36,96.5,0
77,38.4,96.2,40.7
78,36.5,98.8,0
83,37,90.5,25.9
76,36.3,99.2,0
76,36,93.7,0
78,36.9,98.6,6.2
78,36.4,96.2,1
84,36.7,97.3,6.6
79,36,99.5,0
84,36.3,97,0
82,35.8,99.5,0
78,36.4,96.5,0.4
97,36.8,95.4,16.3
94,36.4,97.1,4
88,36.8,95.4,13.6
94,36.6,97.3,7.6
83,36.6,97.1,4.7
77,36.6,97,3.1
84,36.8,98.8,5.6
85,36,97.8,0
78,36.2,95.8,0
84,36.1,98.4,0
80,37.1,98,12
68,36.6,98.1,0
81,36.8,93.8,14.7
84,36.9,95.5,14.2
85,36.9,95.6,14.3
75,36.1,99,0
80,36.4,98.1,0
90,36.4,95.2,6.6
94,36.8,97.4,11.4
81,36.1,95.9,0
73,36.8,98.3,3.3
72,35.6,96.6,0
76,36.2,98.7,0
78,36.8,97.3,6.8
73,36.5,98.9,0
60,37,92.5,15
71,36.4,95.9,0
89,37.1,95.8,19.1
87,36.6,99.7,0.7
92,36.8,96.6,12.4
93,36.9,99.3,9.3
95,36.9,99.4,9.7
88,36.3,95.6,3.2
93,36.9,95.2,17.5
84,36.4,91.6,12
81,36.8,99.6,3.1
91,36,95,0
89,36.7,95.2,12.3
62,36.9,97.7,3.2
61,36.4,97.2,0
51,36.6,96.4,0
61,36.2,97.7,0
85,36.5,98.8,0
86,36.8,91.6,20.6
86,35.9,99.8,0
81,36.4,91.4,11.5
57,35.9,96.7,0
78,36.4,97.9,0
83,36.7,96.9,7.1
80,36.6,98.4,1.2
81,36.7,96.3,7.7
91,36.1,97,0
71,36.5,95.7,1.9
78,36.5,99.8,0
76,36.9,96,10.8
83,36.3,93,6.9
85,36.5,98.6,0.3
82,36.4,96.4,1.8
80,36.4,99.8,0
62,36.6,96.8,0
74,36.7,97.9,2.4
83,36.5,96.2,4.5
84,36.5,97.5,2.2
78,36.5,97,1.4
78,36.5,94,7.4
78,36.8,99.3,2.8
71,37,95.6,12.1
76,36.6,95.4,6
76,36.4,99.3,0
77,36.4,97.1,0
78,36.5,98.6,0
98,36.4,98.1,3.2
88,36.4,95,6.4
76,36.8,97.7,5.4
83,36.1,99.5,0
85,36.3,96.5,0.5
86,36.9,98.1,9.6
80,36.6,97.4,3.2
79,36.8,100,1.7
78,36.2,90,9.4
78,36.5,97.7,0
61,36.7,98.8,0
79,38.4,99.2,35.3
84,36.3,99,0
80,36.6,97.9,2.2
81,36.2,95.2,0
90,36.4,96.5,4
86,36.7,95.1,11.6
85,36.1,96.2,0
85,36.4,99.7,0
86,36.7,97.4,7
85,36.6,98.1,3.3
81,36.3,97.5,0
68,36.3,99.6,0
87,36.3,98.5,0
92,36.5,96.7,6.2
82,36.5,95.7,5.2
81,37.2,97.9,14.5
84,37.1,97.2,14.8
80,35.9,96,0
77,36.5,97.4,0.3
55,36.3,95.7,0
62,36.8,97.2,2.2
86,35.8,95,0
75,36,98.6,0
89,36.3,98.8,0
79,36.2,99.9,0
56,36.5,99.7,0
72,36.5,98.3,0
82,36.3,95.1,2.4
62,36.4,99.5,0
86,36.1,97.4,0
81,36.6,96.1,6.1
85,36.6,96.8,5.9
78,36.8,96,9.4
84,36.6,99,1.2
80,36.9,98,8
84,36.5,96.1,5
63,36.5,95.5,0
74,36.5,97.8,0
89,36.5,99.8,0
93,36.2,95.8,2.3
94,36.3,97.4,1.4
82,36.1,95.8,0
81,36.5,98.7,0
69,36.7,98.3,0.1
59,36.8,98.2,0
71,36.5,98.2,0
54,36.6,98.2,0
78,36.4,96,1.4
78,36.3,92.2,7
76,36.4,98.3,0
72,36.2,90.8,6
88,36.6,93.7,13
81,36,99,0
85,36.4,98.6,0
80,36.2,95.9,0
84,36,97.5,0
77,36,98.5,0
78,36.9,98.4,6.6
80,36.7,99.2,1.6
90,36.9,96.6,13.8
83,36.5,98.8,0
85,36.8,98.2,7.1
82,36.5,98.9,0
79,36.4,99.2,0
56,36.8,98.8,0
84,36.3,99.2,0
91,36.4,99.6,0
94,36.2,98.8,0
82,36.5,92.8,11
81,36.1,96.2,0
76,36.6,95.1,6.6
72,36.3,98.1,0
79,36.1,95.3,0
67,37.3,96.7,14.7
100,36.6,99.6,4.8
81,36.4,99.2,0
78,36.4,91.2,11
80,36.4,97.2,0
77,36.7,95.5,8.1
90,36.8,99.4,6.2
81,36.5,95.3,5.7
79,36.3,98.3,0
77,36.7,99.9,0
80,37,96.3,13.4
73,36.4,96.2,0
89,36.6,90.5,19.7
93,36.4,98.1,1.7
80,36.7,96,8
81,37,98,10.3
81,36.3,97.7,0
91,36.2,95.9,1.5
81,36.8,95.4,11.5
81,36.5,96.7,2.9
77,36.5,93,9.1
78,36.2,97.6,0
73,36.2,98.5,0
74,36.4,97.7,0
78,36.8,97.5,6.4
80,36.5,96.1,3.8
91,36.1,96.8,0
79,36.5,96.7,2.3
81,36.3,95.4,1.5
74,36.7,98.7,0.8
75,36.4,99.1,0
55,36.2,97.2,0
89,36.4,95.2,6.3
93,36.3,98.4,0
88,36.7,95.9,10.6
79,36.2,98.5,0
90,37.1,96.5,18
93,35.8,97.8,0
87,36.4,98.9,0
83,36.7,99.1,2.7
92,36.5,97.1,5.4
94,37,99.5,11.2
94,36.3,95.5,5.2
94,36.4,98.9,0.4
100,36.6,99.4,5.2
96,37.1,98.6,15.6
103,36.3,93.3,12.3
79,36.3,96.3,0
83,37,99.6,7.7
93,36.3,98.2,0
83,37.1,95.7,17.5
85,35.7,97,0
85,36.8,97.8,7.9
81,36.4,97.5,0
81,36,94.2,0
79,36,99.7,0
61,36.5,95.7,0
68,36.4,98.2,0
77,36.8,95.9,9.3
76,36.8,99.3,2.2
67,36.7,99.6,0
77,36.6,99.7,0
64,36.5,96.1,0
80,36.3,99.6,0
91,36.8,98.3,8.7
76,36.7,98,2.8
61,36.5,97.8,0
79,36.7,96.7,6.3
56,36.2,86.6,9.6
77,36.6,96.2,4.7
83,36.8,95.4,12.1
91,35.9,98.2,0
92,36.9,95.7,16.2
84,36.4,95.3,4.6
80,36.6,97.9,2.2
73,36.7,96.8,4.3
55,36.5,99.1,0
76,36.2,96,0
78,36.5,95.3,4.8
79,36.2,94.1,1.5
61,36.1,97.3,0
79,35.9,97.5,0
73,37.1,95,15.9
77,36.9,99.5,4.1
79,36.4,98,0
61,36.6,95.3,1.7
63,36.6,99.8,0
86,36.4,97,1.8
92,36.7,99.2,5.2
88,36.7,96.8,8.8
81,36.2,97.4,0
79,36.5,97.1,1.5
78,36.7,97.6,4.2
73,36,97.6,0
60,36.8,95.6,4.8
68,36.7,97.3,1.8
75,36.6,99.6,0
78,36.3,97.6,0
77,37,95.1,14.9
79,36.6,95.3,7.1
78,36.3,97.3,0
68,36.3,99,0
75,36.9,99.5,3.5
60,36.1,95.4,0
68,36.5,98.2,0
76,36.5,96.6,1.6
70,36.6,95.8,3.4
70,36.6,98.4,0
66,36.4,97.5,0
76,36.9,96,10.8
78,36,99,0
78,36.5,97.3,0.8
77,36.9,97.2,8.7
89,36.3,95.1,4.5
76,36.2,91.9,5
72,36.7,95.1,7.4
79,37.3,96.8,18.1
77,36.7,97.7,3.7
90,36.4,97.3,2.4
71,36.5,95.5,2.3
88,36.2,95.6,1.2
83,36.2,96.4,0
81,36.8,98,6.3
77,36,98.6,0
80,36.7,97,6
102,36.5,96,10.6
80,36.1,96.2,0
79,36.3,98.3,0
87,36.7,98.9,4.3
82,36.1,99.2,0
80,36.6,98.7,0.6
79,36,99.2,0
80,36.2,97,0
68,36.4,99,0
77,36.8,98,5.1
90,36.6,99.2,2.6
81,36.5,98.8,0
57,36.3,95.4,0
55,36.3,98,0
73,36.2,95.3,0
74,37,97.7,8.8
77,36.8,97.1,6.9
78,36.2,97.6,0
68,37.3,96.3,15.8
74,36.5,99.6,0
89,36.6,90.6,19.5
76,36.9,98.9,5
77,36.8,99.8,1.5
73,36.3,95.6,0
71,36.2,97.2,0
75,36.4,99.4,0
77,36.4,96.4,0.3
84,36.3,96,1.2
79,36.5,96,3.7
73,36,99.5,0
79,36.6,95.6,6.5
73,37.3,99.4,11.1
77,37,85.4,34.3
78,35.7,95.1,0
78,36.4,98.9,0
78,36.5,97.6,0.2
78,36.9,95.1,13.2
61,36.3,98.7,0
85,36.4,95.3,4.9
63,36.4,99.7,0
74,36.2,98.6,0
89,37.2,98.4,15.9
94,36.4,99,0.2
84,36.9,99.1,7
82,38.7,95.1,50.4
80,36.8,99.8,2.4
79,36.3,95.6,0.5
84,36.4,96,3.2
85,37.2,97.6,16.3
74,36.9,98.7,4.8
74,36.5,99.5,0
79,36.1,95.3,0
76,37.3,95.4,20
55,35.9,95.8,0
78,36.4,95.9,1.6
78,36.4,95.6,2.2
90,36.7,99.8,3.4
83,36.6,95.1,8.7
79,36.1,96.5,0
77,36.7,94.4,10.3
89,36.4,93.9,8.9
87,36.3,95,4.1
86,36.2,98.2,0
82,36.6,97.2,4.2
69,36.1,95.6,0
78,36.4,95.2,3
79,36.3,98.8,0
77,36.9,99.1,4.9
89,36.3,98.2,0
81,36,96.5,0
78,36.6,96.8,3.8
77,36.4,93.7,5.7
75,36.6,99.4,0
76,36.5,96.9,1
80,36.3,97.9,0
78,36.7,93.9,11.6
78,36.7,97.6,4.2
90,35.3,97.1,0
76,37,98.4,8
72,36.2,95,0
76,37,98.2,8.4
83,36.8,97.2,8.5
81,36,96.1,0
80,36.1,95.7,0
84,37.6,96.5,26.2
80,36.3,93.6,4.8
78,36.2,99.9,0
79,36.4,85.4,22.9
77,36.4,96.2,0.7
78,36.5,96.5,2.4
68,36.7,99.4,0
75,36.3,97.2,0
78,37.1,99.5,8.4
78,36.3,96.7,0
79,36.4,95.1,3.5
84,36.3,99.8,0
80,36.6,95.6,6.8
78,36.5,97,1.4
83,36.7,98.3,4.3
80,36.3,95.1,1.8
84,36.3,97.8,0
80,37.1,98.7,10.6
78,36.6,96.6,4.2
79,36.3,85.4,20.9
80,36.4,98.2,0
79,36.2,96.4,0
75,36.8,95.8,8.9
72,36.8,98,3.6
88,36.9,96.5,13.4
81,36.6,98.9,0.5
91,37,99.4,10.5
81,37.1,98.3,11.7
79,36.7,97.7,4.3
81,35.9,97.4,0
80,36.8,96.9,8.2
81,36.6,87.3,23.7
81,36.7,95.6,9.1
80,36.5,99.4,0
84,36.2,98.1,0
79,36.9,95.3,13.1
77,36.5,99.6,0
76,36.7,99.3,0.2
78,36.3,99.6,0
84,36.3,99.4,0
78,36.7,99.3,0.8
78,36.1,95.5,0
72,36.5,98.6,0
76,36.6,95.8,5.2
83,36.6,95.5,7.9
79,36.6,99.5,0
61,35.9,98.8,0
80,36.2,92,6
81,36.7,97.4,5.5
80,36.3,99.6,0
77,36.9,99,5.1
84,36.7,97.4,6.4
82,36.3,96.5,0
114,36.5,97,12.2
83,36.6,97.9,3.1
82,36.2,99,0
79,36.5,96.8,2.1
80,36.4,99.4,0
73,36.5,97.6,0
75,36.5,96.3,1.9
79,36.4,97.8,0
91,36.2,96,1.3
81,36.6,98.5,1.3
77,37,95,15.1
78,36,95,0
84,35.6,98.2,0
78,38.2,96.9,35.6
84,36.7,99.3,2.6
91,36.4,99.7,0
76,37,99.2,6.4
78,36.4,95.9,1.6
68,36.8,95.9,6.6
70,36.7,99,0
77,36.3,98.7,0
72,36.8,98.6,2.4
76,36.5,98.6,0
75,36.8,96.5,7.5
75,36.5,95.5,3.5
89,36.1,95.5,0
81,37,96.5,13.3
85,37.1,95.2,19.1
75,36.7,96.2,6.1
78,36.8,98.3,4.8
79,36.7,96.7,6.3
91,36.4,98.8,0
79,36.2,90.9,7.9
90,36.6,98.9,3.2
70,36.5,99.5,0
82,36,95.7,0
85,36.4,97.7,0.1
78,36.6,99.9,0
84,36.8,99.4,4.4
78,36.2,95.5,0
79,37.1,96.9,13.9
83,36.7,99.4,2.1
85,36.6,94.6,10.3
78,36.2,98.9,0
83,36.8,92.5,17.9
85,36.7,96.4,8.7
87,36.6,96,8.1
101,36.6,98.6,7.1
104,37.3,99.6,20
83,36,95.9,0
85,36.4,98.1,0
80,36.1,97.3,0
76,37.2,98.5,11.8
78,36.5,99.2,0
56,36.3,96.9,0
72,39,97.1,49.4
78,36.4,96.6,0.2
82,36.9,96.6,11.4
62,36.3,99.9,0
72,36.9,98,5.6
77,36.4,96.1,0.9
78,36.7,98.3,2.8
78,36.4,97.4,0
68,36.7,96.8,2.8
65,37.4,96.5,16.5
80,36.5,97.7,0.6
79,36.3,98.6,0
84,36,99,0
91,36.6,98.6,4.1
79,35.9,98.4,0
68,36.7,98.3,0
53,36.1,96,0
72,36.7,95.2,7.2
71,36.8,99.8,0
78,36.1,99.3,0
80,36.8,97.5,7
85,36.4,99.1,0
80,36.9,96.4,11.2
84,36.9,98.9,7.4
74,34.3,99.5,0
60,36.6,99.4,0
74,36.7,97.6,3
83,37,98.2,10.5
62,36.7,99.1,0
86,36.6,96.7,6.4
82,36.6,95.8,7
68,37,95.3,11.8
73,36.4,94.7,2.5
83,36.7,93.6,13.7
57,36.4,87.1,12.9
75,36.4,96.8,0
76,36.8,97.5,5.8
67,36.4,98.6,0
74,36.3,98.9,0
77,36.3,96.2,0
89,37.1,98.5,13.7
82,36.4,97.7,0
81,36.5,98.1,0.1
69,36.6,95.9,2.9
78,36,96.5,0
80,37.2,99.8,10.4
81,36.5,97.7,0.9
93,36.9,97.2,13.5
98,36.6,96.8,9.8
103,36.7,95.1,16.7
112,36.7,97.9,13.8
112,36.9,98.8,16
101,37.2,98.1,20.1
62,37,98.3,4
72,36.4,97,0
75,36.4,95.8,0.9
75,36.4,97.5,0
72,36.4,97.7,0
82,36.5,100,0
81,36.5,98.1,0.1
79,36.3,95.7,0.3
73,36.8,96.4,7.1
74,36.6,96.9,2.4
75,36.8,94.6,11.3
72,36,95.7,0
79,36.5,98.7,0
90,36.5,99,1
83,36.4,94.9,5.1
85,36.8,95.3,12.9
74,36.6,97.3,1.6
89,37.1,97,16.7
83,36.2,99.4,0
111,36,95,5.3
99,35.9,96.9,0
97,36.7,95.1,14.9
90,36.4,99.6,0
88,36.4,96.7,3
79,36.6,95.8,6.1
92,36.3,95.7,4.2
102,36.4,99.2,2.2
87,36.4,93.6,8.9
82,36.4,98.8,0
85,36.5,99.4,0
58,36.9,99.5,0
81,36.3,90.6,11.1
88,36.7,95.6,11.2
87,36.4,95.1,5.9
86,36.2,95.1,1.6
95,36.5,98,4.5
96,35.7,95.1,0
96,36.5,95.6,9.6
104,36.3,97.2,4.8
80,36.4,98.8,0
90,36,95.8,0
83,36.1,98.9,0
91,36.4,97.5,2.3
84,36.1,98.5,0
91,36.7,99,5.3
82,36.3,97.7,0
81,36.6,96.6,5.1
89,36.4,99.5,0
93,36.4,97.8,2.3
87,36.8,97.7,8.7
89,35.9,97.2,0
93,36.8,97.1,11.7
94,36.5,95.6,9
80,36.4,95.4,3.2
84,37,99.6,8
80,38.4,99.4,35.2
104,36.6,96.3,12.6
104,36.8,100,9.2
89,36.5,99.5,0
87,36.8,90.6,22.9
87,37.2,97,18.1
81,36.2,96.2,0
77,36.6,96.4,4.3
90,38.6,95.6,49.8
87,36.5,98.3,1.5
86,36.3,97.6,0
87,36.6,99.2,1.7
90,36.5,98.7,1.6
89,35.8,99.5,0
89,36.3,96.3,2.1
90,36.8,97.8,9.4
93,36.9,96.8,14.3
98,36.4,100,0
98,36.4,97.5,4.4
96,36.2,98,0
83,36.2,90.4,10.1
91,36.1,97.8,0
96,35.8,95.7,0
95,36.7,99.9,4.7
72,37,95.3,13
88,37,99.9,8.6
92,36.7,93.6,16.4
94,36.4,96.7,4.8
94,36.4,98.2,1.8
88,36.7,98.5,5.4
92,36.2,99,0
83,37.1,95.2,18.5
92,36.4,97.7,2.2
98,36.4,95.7,8
83,37,97.8,11.3
76,37.2,95.5,17.8
74,36.3,96.1,0
72,36.6,95.7,4.2
76,36.1,97.8,0
78,36.7,97.2,5
77,36.4,98.6,0
70,36.4,98.2,0
67,36.5,97.2,0
71,36.5,96.1,1.1
76,36.2,96.6,0
72,36.7,98.3,1
69,36.7,98.2,0.3
68,36.6,97.8,0
70,36.4,95.2,0.6
66,36.3,97.1,0
70,36.7,96.8,3.4
68,35.8,97.4,0
69,35.8,97.7,0
70,36.9,95.3,10.4
69,36.6,95.1,4.5
74,36.7,96.7,4.8
72,36.1,90.3,5
69,36.3,96,0
69,36.7,88.8,19.1
70,34.8,96.4,0
65,36.1,97.4,0
66,36.6,96.5,0.8
96,36.9,95.9,17
81,36.7,95.1,10.1
81,38.5,96,44.3
77,36.7,97.4,4.3
67,36.6,97.6,0
74,36.2,97,0
89,37,89.3,30.1
87,36.8,98.2,7.7
92,36.6,95.4,10.8
80,36.2,96.3,0
78,37,97.7,10
76,36.1,99,0
80,36.6,97.5,3
78,36.5,86.8,21.8
78,36.5,91.1,13.2
84,37,97.5,12.2
77,36.7,97.2,4.7
85,36.3,95.8,1.9
79,36.1,95,0
73,36.4,96.8,0
75,36.3,99.7,0
75,36.9,96.4,9.7
90,35.9,95.7,0
79,36.6,87.9,21.9
84,36.5,97.2,2.8
82,38.4,96,42.6
81,36.6,98.2,1.9
76,36.3,96.8,0
89,34.5,98.6,0
93,36.8,99,7.9
87,36.4,95.9,4.3
77,37,99.2,6.7
84,36.4,96,3.2
80,36.7,96.2,7.6
90,36.7,99.4,4.2
83,36.4,97.2,0.5
82,36.3,97.9,0
77,36.5,93.4,8.3
81,36.3,99,0
80,36.3,98.5,0
90,36.4,96.4,4.2
82,36.3,98.3,0
75,36.6,99.2,0
75,36.7,95.8,6.9
72,36.5,99.2,0
77,36.7,98.8,1.5
76,36.3,98.8,0
90,36.4,99.6,0
80,36.6,96.4,5.2
73,36.6,96.2,3.5
71,36.8,96,7.3
76,36.5,98.4,0
74,36.4,99.4,0
71,36.6,96.4,2.5
71,36.3,95.6,0
77,35.9,98.6,0
81,36.6,95.6,7.1
81,36.2,96.8,0
74,36.7,95.6,7
72,36.6,98.3,0
74,36.9,99.3,3.6
72,36.3,97.9,0
88,35.7,97.9,0
83,36.5,97.9,1.1
81,36.9,97.7,8.9
79,36.1,99.9,0
92,36.5,98.2,3.2
85,38.2,98,35.5
90,36.9,97.2,12.6
76,36.7,98.2,2.4
72,36.7,99.3,0
74,36.5,96.8,0.6
74,36.8,96.1,8
84,36.7,95.1,11
89,36.4,98.6,0
85,37.1,95.9,17.7
85,36.2,97,0
78,36.5,95.1,5.2
76,36.9,97.8,7.2
88,36.4,95.3,5.8
90,36.4,99.1,0
86,36.6,96.1,7.6
80,36.6,96.6,4.8
74,36.2,99.1,0
75,36.4,97.8,0
72,36.4,97.8,0
70,36.3,96.2,0
71,36.4,96.7,0
69,36.7,97.6,1.5
69,36.3,99.5,0
78,36.5,97,1.4
79,36.6,98.8,0.1
91,36.5,94.8,9.7
84,36.9,99.3,6.6
78,36.9,97.6,8.2
72,36.5,99.6,0
76,36.8,97.6,5.6
67,36.3,99.9,0
70,36.8,96.2,6.6
74,36.6,99.7,0
69,36.7,98.2,0.3
65,36.9,99.6,0.3
75,36.2,97.2,0
68,36.2,97.1,0
73,37.2,99.4,9.1
91,36.6,99.3,2.7
91,36.5,96.2,6.9
94,36.7,96.4,11.4
95,36.6,96.6,9.3
85,35.9,95.8,0
93,36.1,99.2,0
88,36.9,99,8.4
75,36.9,99.1,4.3
76,36.4,98.3,0
80,36.5,97.6,0.8
78,36.1,99,0
60,36.5,95.1,0
75,37.3,99.6,11.3
80,36.4,99.9,0
65,36,97.1,0
69,36.1,97,0
65,36.4,99.8,0
66,36.4,95.3,0
59,36.5,99.3,0
58,36.2,92.6,0
62,36.5,94.2,2.2
64,36.6,96,1.2
65,36.8,97.7,2.1
64,36.1,97.3,0
64,35.7,86.9,1.4
63,36.5,96.7,0
60,36.2,96.9,0
63,36.3,96.2,0
65,36.8,98.1,1.3
81,36.4,97.3,0
73,36.4,95.8,0.3
71,37,96,11.3
74,36.3,99.2,0
73,36.2,98.8,0
73,36.6,99.3,0
77,36.7,98.1,2.9
81,36.6,97.2,3.9
84,36.8,97.4,8.4
73,36.6,98.4,0
72,36.8,99,1.6
68,36.6,99.1,0
66,36.5,97.6,0
64,36.3,99.7,0
63,36.5,97.4,0
64,36.1,99.1,0
76,36.7,98.8,1.2
75,36.1,96.9,0
71,36.4,98.9,0
68,36.2,96.7,0
75,36.7,97.4,3.7
78,36.3,99.2,0
80,36.1,95.9,0
68,36.7,96.2,4
71,36.9,99.1,3.1
63,37,97.7,5.5
67,36.4,97.8,0
77,36.6,95.1,6.9
76,36.7,99,0.8
76,36.6,96.8,3.2
70,36,98.9,0
68,36.4,99.3,0
66,36.8,95.9,6
65,36.8,94.3,8.9
67,37,95,12.1
63,36.1,96.7,0
64,36.9,99.3,0.6
67,36.4,97.2,0
94,37.1,99.6,13
75,36.5,96.6,1.3
72,36,98.6,0
82,36.9,99.2,6.2
81,36,96.1,0
74,36.7,95.9,6.4
70,36.9,99.4,2.2
71,36.2,97.1,0
76,36.8,100,0.8
77,36.5,95.4,4.3
73,36.2,97.6,0
74,36.8,97.3,5.6
69,36.5,99.2,0
71,36.5,99.3,0
71,36.4,96.5,0
69,36.5,96.3,0.1
68,38.9,97.3,45.8
68,37,97.4,7.6
70,36.6,97.5,2.84E-14
71,36.1,95.5,0
68,36.2,99.6,0
69,36.3,95.5,0
70,36.4,95.9,0
70,36,97.5,0
77,36.7,95.4,8.3
71,36.6,98.9,0
65,36.3,98.7,0
69,36.3,95.1,0
67,36.7,97.3,1.5
67,36.1,97.5,0
77,36.2,95.3,0
74,36,99.7,0
72,36.5,96.2,1.2
76,36.4,97.5,0
73,36.4,99.7,0
75,36.7,98.6,1.3
77,36.8,97,7.1
72,36,93.8,0
73,36.9,97,7.9
77,36.7,96.6,5.9
77,36.4,96.4,0.3
78,36.7,96,7.4
82,36.6,99.6,0
57,35.8,98.9,0
70,36.9,97,7
85,36.7,96.4,8.7
81,36.4,97.2,0
85,36.6,98,3.5
75,36.6,96.8,2.9
78,36,97.5,0
74,36.7,98,2.2
76,36.9,98.2,6.4
73,36.2,99.4,0
77,36.9,98.9,5.3
77,36.4,98.5,0
77,36.7,95.9,7.3
73,36.4,95.3,1.3
74,36.4,92.9,6.4
73,36.6,97.1,1.7
73,36.8,95.9,8.1
75,36.2,97.3,0
76,36.3,97.3,0
78,36.7,99.8,0
74,36.4,95.4,1.4
72,36.4,97.6,0
77,36.4,97.2,0
78,36.5,99.7,0
75,34.9,95.9,0
75,36.7,96.1,6.3
79,36.5,99,0
73,36.1,98,0
74,36.2,96.6,0
72,36.5,93.8,6
72,36.4,99.6,0
74,36.6,95.4,5.4
76,36.5,97.9,0
77,36.8,99.5,2.1
73,36.3,95.2,0
77,36.3,97.1,0
80,36.7,97.4,5.2
71,36.4,99.1,0
78,36.6,96.1,5.2
89,36.6,95.1,10.5
92,36.4,97,3.6
88,36.7,99.2,4
89,36.7,96.3,10.1
92,36.9,97,13.6
82,37.2,98.2,14.2
85,36.4,95.7,4.1
82,36.4,96.2,2.2
75,36.8,99.2,2.1
73,37,99.8,4.3
